groups,
gusvadcuser,
gusvadcCitrixSF_StdUser,
gUsvadcCitrixSF_iCommand,
gusvadcCitrixSF_Olympus,
glchahncruser,
gusvadccvuser,
gusvadccvusersv20p,
gusvadciaccess,
gusvadcCitrixSF_DMOuser,
gusvadcCitrixSF_P2Sentinel,
test_group,
